	CKG1	CKG2	CKG3
otu2492	37	37	28
otu2493	148	23	187
otu2494	55	18	36
otu2495	67	162	41
otu2496	76	177	45
otu2497	78	173	41
otu2498	61	62	172
otu2499	139	72	111
otu2500	79	149	43
otu2501	46	54	55
otu2502	91	180	50
otu2503	94	45	45
otu2504	93	102	112
otu2505	110	66	24
otu2506	99	69	35
otu2507	79	58	70
otu2508	123	78	59
otu2509	67	25	81
otu2510	135	98	61
otu2511	171	15	33
otu2512	103	110	57
otu2513	37	52	46
otu2514	118	91	70
otu2515	79	81	136
otu2516	137	119	29
otu2517	38	8	55
otu2518	47	18	51
otu2519	43	7	62
otu2520	151	65	42
otu2521	120	19	19
otu2522	56	74	162
otu2523	46	120	69
otu2524	81	171	49
otu2525	50	144	76
otu2526	119	83	85
otu2527	57	72	87
otu2528	60	81	131
otu2529	48	66	33
otu2530	75	47	75
otu2531	25	48	114
otu2532	54	34	59
otu2533	40	6	57
otu2534	57	142	52
otu2535	56	12	45
otu2536	32	7	82
otu2537	70	103	22
otu2538	48	92	46
otu2539	72	176	48
otu2540	83	111	93
otu2541	74	52	52
otu2542	121	94	36
otu2543	94	129	71
otu2544	71	72	37
otu2545	100	74	51
otu2546	134	111	45
otu2547	41	24	37
otu2548	70	8	49
otu2549	179	22	97
otu2550	122	69	38
otu2551	44	13	36
otu2552	73	122	43
otu2553	176	4	23
otu2554	32	45	40
otu2555	44	15	32
otu2556	68	52	55
otu2557	108	83	71
otu2558	121	82	44
otu2559	15	66	38
otu2560	123	62	62
otu2561	91	17	33
otu2562	89	127	106
otu2563	108	100	64
otu2564	41	29	33
otu2565	31	126	51
otu2566	79	30	39
otu2567	91	120	52
otu2568	48	42	46
otu2569	91	151	59
otu2570	176	58	24
otu2571	131	138	34
otu2572	97	128	52
otu2573	112	5	24
otu2574	107	67	43
otu2575	114	83	27
otu2576	66	100	109
otu2577	79	165	48
otu2578	80	87	53
otu2579	87	84	69
otu2580	77	181	45
otu2581	40	20	41
otu2582	29	9	52
otu2583	110	116	49
otu2584	119	52	91
otu2585	35	35	75
otu2586	71	55	5
otu2587	40	29	127
otu2588	17	12	39
otu2589	34	10	36
otu2590	66	106	5
otu2591	99	64	110
otu2592	71	51	98
otu2593	56	21	50
otu2594	144	47	20
otu2595	94	114	56
otu2596	11	39	56
otu2597	51	66	42
otu2598	91	79	52
otu2599	66	94	114
otu2600	49	16	40
otu2601	79	49	55
otu2602	72	132	63
otu2603	54	42	42
otu2604	68	62	58
otu2605	96	113	98
otu2606	27	22	46
otu2607	68	47	48
otu2608	141	46	112
otu2609	45	57	45
otu2610	15	19	32
otu2611	71	45	32
otu2612	17	10	37
otu2613	35	40	31
otu2614	159	19	44
otu2615	60	28	139
otu2616	62	18	54
otu2617	114	22	25
otu2618	115	39	42
otu2619	62	211	49
otu2620	42	33	38
otu2621	103	40	53
otu2622	107	85	21
otu2623	35	75	18
otu2624	55	21	35
otu2625	59	25	24
otu2626	78	80	97
otu2627	99	53	101
otu2628	129	3	90
otu2629	61	53	148
otu2630	123	9	77
otu2631	33	90	33
otu2632	33	14	20
otu2633	175	7	100
otu2634	86	43	121
otu2635	123	28	10
otu2636	38	7	62
otu2637	76	46	50
otu2638	77	166	61
otu2639	91	64	119
otu2640	84	11	24
otu2641	63	80	88
otu2642	92	87	31
otu2643	152	70	16
otu2644	37	53	64
otu2645	136	53	112
otu2646	97	58	68
otu2647	111	79	52
otu2648	58	62	1
otu2649	76	49	43
otu2650	40	17	37
otu2651	25	59	62
otu2652	87	88	41
otu2653	28	43	38
otu2654	88	93	43
otu2655	43	4	65
otu2656	95	45	50
otu2657	84	25	102
otu2658	37	54	157
otu2659	86	130	57
otu2660	128	42	99
otu2661	145	11	21
otu2662	34	8	26
otu2663	30	27	43
otu2664	87	69	54
otu2665	61	30	24
otu2666	100	53	87
otu2667	60	75	56
otu2668	96	20	129
otu2669	50	14	30
otu2670	141	16	167
otu2671	108	47	64
otu2672	113	52	54
otu2673	116	69	48
otu2674	57	43	133
otu2675	93	121	56
otu2676	35	32	45
otu2677	15	31	3
otu2678	31	58	59
otu2679	117	71	61
otu2680	125	87	42
otu2681	80	59	73
otu2682	110	81	55
otu2683	31	4	43
otu2684	158	61	86
otu2685	82	60	70
otu2686	41	21	21
otu2687	14	58	42
otu2688	31	12	30
otu2689	47	20	26
otu2690	49	191	55
otu2691	42	22	33
otu2692	38	39	33
otu2693	83	159	39
otu2694	92	55	35
otu2695	80	48	65
otu2696	195	0	0
otu2697	117	79	34
otu2698	72	26	29
otu2699	17	33	45
otu2700	33	6	27
otu2701	54	74	51
otu2702	70	91	39
otu2703	107	30	19
otu2704	86	69	41
otu2705	96	52	43
otu2706	86	83	60
otu2707	87	83	103
otu2708	35	56	49
otu2709	101	64	80
otu2710	86	59	26
otu2711	0	0	0
otu2712	19	30	36
otu2713	29	15	24
otu2714	48	18	11
otu2715	93	115	37
otu2716	110	33	44
otu2717	123	28	76
otu2718	103	66	41
otu2719	138	8	31
otu2720	61	79	59
otu2721	52	142	59
otu2722	25	54	69
otu2723	79	62	79
otu2724	46	12	29
otu2725	42	151	55
otu2726	88	132	63
otu2727	11	44	25
otu2728	57	23	39
otu2729	63	116	50
otu2730	118	54	43
otu2731	23	46	115
otu2732	37	63	19
otu2733	38	16	42
otu2734	95	52	57
otu2735	85	25	40
otu2736	122	10	152
otu2737	68	70	86
otu2738	88	94	53
otu2739	60	27	25
otu2740	66	80	79
otu2741	122	75	50
otu2742	110	66	81
otu2743	42	15	27
otu2744	101	79	65
otu2745	39	7	50
otu2746	113	32	37
otu2747	75	82	39
otu2748	56	154	41
otu2749	110	82	108
otu2750	71	28	76
otu2751	36	40	18
otu2752	70	44	109
otu2753	118	78	50
otu2754	90	49	52
otu2755	110	48	79
otu2756	58	95	64
otu2757	33	10	30
otu2758	70	50	20
otu2759	64	4	41
otu2760	37	22	69
otu2761	82	83	37
otu2762	34	31	27
otu2763	52	49	56
otu2764	126	59	33
otu2765	73	82	73
otu2766	103	112	35
otu2767	58	76	19
otu2768	63	74	18
otu2769	59	18	32
otu2770	95	27	41
otu2771	54	49	65
otu2772	70	100	89
otu2773	111	95	51
otu2774	54	64	39
otu2775	10	17	27
otu2776	126	28	46
otu2777	26	9	17
otu2778	119	15	125
otu2779	23	53	52
otu2780	96	32	73
otu2781	73	80	38
otu2782	61	10	159
otu2783	69	107	69
otu2784	91	132	52
otu2785	32	34	38
otu2786	75	4	93
otu2787	9	8	21
otu2788	56	59	49
otu2789	94	90	27
otu2790	56	64	27
otu2791	63	31	56
otu2792	82	55	28
otu2793	83	40	77
otu2794	26	19	23
otu2795	108	73	23
otu2796	38	72	43
otu2797	30	34	23
otu2798	13	9	6
otu2799	21	41	37
otu2800	113	32	112
otu2801	35	16	33
otu2802	39	110	0
otu2803	34	29	52
otu2804	11	1	2
otu2805	108	13	89
otu2806	19	59	20
otu2807	94	29	80
otu2808	76	96	47
otu2809	48	41	13
otu2810	133	0	0
otu2811	0	378	0
otu2812	62	66	80
otu2813	90	57	40
otu2814	35	20	37
otu2815	20	54	51
otu2816	57	17	26
otu2817	74	43	116
otu2818	45	62	54
otu2819	6	17	2
otu2820	40	21	15
otu2821	53	60	26
otu2822	24	7	32
otu2823	63	85	39
otu2824	44	22	10
otu2825	37	41	29
otu2826	80	71	67
otu2827	67	49	83
otu2828	19	22	177
otu2829	92	35	68
otu2830	64	120	29
otu2831	62	60	20
otu2832	129	8	38
otu2833	78	72	13
otu2834	29	23	72
otu2835	23	49	128
otu2836	44	51	6
otu2837	92	43	56
otu2838	68	62	50
otu2839	29	76	117
otu2840	71	28	23
otu2841	40	38	54
otu2842	22	22	31
otu2843	32	33	37
otu2844	45	51	63
otu2845	47	126	31
otu2846	68	114	42
otu2847	67	57	29
otu2848	64	34	74
otu2849	71	58	60
otu2850	75	49	34
otu2851	71	89	39
otu2852	56	63	40
otu2853	112	22	29
otu2854	71	61	32
otu2855	29	11	33
otu2856	104	66	53
otu2857	102	33	51
otu2858	15	24	25
otu2859	38	27	118
otu2860	140	35	22
otu2861	65	153	46
otu2862	10	39	150
otu2863	28	39	133
otu2864	87	55	64
otu2865	39	55	105
otu2866	122	7	83
otu2867	32	29	29
otu2868	90	37	32
otu2869	86	51	76
otu2870	15	29	32
otu2871	38	27	15
otu2872	19	8	34
otu2873	20	36	132
otu2874	123	23	37
otu2875	26	11	24
otu2876	70	153	37
otu2877	97	77	23
otu2878	19	14	23
otu2879	30	17	13
otu2880	47	106	60
otu2881	106	80	55
otu2882	73	40	45
otu2883	29	26	60
otu2884	44	40	0
otu2885	32	31	49
otu2886	44	41	28
otu2887	69	19	37
otu2888	57	36	70
otu2889	97	34	103
otu2890	53	61	24
otu2891	66	80	20
otu2892	69	58	52
otu2893	89	62	72
otu2894	43	28	122
otu2895	47	48	30
otu2896	76	53	38
otu2897	78	73	72
otu2898	55	24	36
otu2899	78	53	84
otu2900	95	37	69
otu2901	81	75	46
otu2902	73	68	55
otu2903	31	17	23
otu2904	55	129	20
otu2905	5	12	25
otu2906	51	26	8
otu2907	47	53	38
otu2908	40	28	72
otu2909	85	15	91
otu2910	120	9	91
otu2911	12	17	47
otu2912	24	22	25
otu2913	91	47	13
otu2914	70	97	62
otu2915	112	66	66
otu2916	74	95	40
otu2917	21	17	22
otu2918	31	30	40
otu2919	55	51	29
otu2920	8	30	135
otu2921	12	14	16
otu2922	69	141	49
otu2923	82	78	36
otu2924	114	10	132
otu2925	49	59	46
otu2926	10	36	37
otu2927	37	141	25
otu2928	62	135	41
otu2929	65	3	3
otu2930	69	19	53
otu2931	51	166	33
otu2932	44	39	27
otu2933	10	31	143
otu2934	16	46	30
otu2935	72	72	44
otu2936	107	14	17
otu2937	46	35	81
otu2938	69	32	40
otu2939	72	95	34
otu2940	81	31	120
otu2941	72	13	97
otu2942	7	11	26
otu2943	44	32	16
otu2944	79	53	37
otu2945	70	80	38
otu2946	20	28	25
otu2947	75	82	40
otu2948	78	63	67
otu2949	41	49	60
otu2950	92	17	69
otu2951	60	16	61
otu2952	12	32	146
otu2953	10	40	34
otu2954	100	10	53
otu2955	69	41	37
otu2956	76	81	53
otu2957	10	3	146
otu2958	34	38	47
otu2959	102	29	37
otu2960	33	25	26
otu2961	50	4	25
otu2962	41	69	59
otu2963	101	45	3
otu2964	11	107	27
otu2965	11	29	142
otu2966	13	36	142
otu2967	44	103	46
otu2968	17	18	40
otu2969	30	20	23
otu2970	44	14	37
otu2971	83	27	23
otu2972	47	61	37
otu2973	80	11	97
otu2974	26	19	22
otu2975	35	45	27
otu2976	64	22	89
otu2977	54	18	12
otu2978	60	53	12
otu2979	42	19	28
otu2980	18	52	35
otu2981	69	67	50
otu2982	10	31	132
otu2983	34	8	24
otu2984	96	32	54
otu2985	77	41	64
otu2986	111	9	99
otu2987	57	115	31
otu2988	9	16	32
otu2989	76	22	8
otu2990	35	23	24
otu2991	94	57	37
otu2992	56	27	80
otu2993	66	50	40
otu2994	34	11	19
otu2995	64	16	55
otu2996	46	154	50
otu2997	118	7	26
otu2998	38	6	18
otu2999	43	17	24
otu3000	97	15	31
otu3001	75	21	10
otu3002	6	90	98
otu3003	0	107	84
otu3004	114	0	10
otu3005	34	12	24
otu3006	117	30	10
otu3007	121	0	3
otu3008	59	46	20
otu3009	34	31	37
otu3010	99	73	64
otu3011	11	17	9
otu3012	47	26	31
otu3013	24	19	20
otu3014	4	8	19
otu3015	56	138	27
otu3016	108	98	38
otu3017	75	15	69
otu3018	31	12	23
otu3019	111	30	26
otu3020	16	5	4
otu3021	74	25	63
otu3022	53	44	66
otu3023	45	71	55
otu3024	75	39	79
otu3025	83	91	35
otu3026	71	31	77
otu3027	54	72	83
otu3028	4	16	41
otu3029	71	21	55
otu3030	25	83	18
otu3031	115	17	11
otu3032	77	46	37
otu3033	120	16	18
otu3034	51	59	43
otu3035	32	20	24
otu3036	20	24	17
otu3037	56	108	31
otu3038	88	72	25
otu3039	58	126	47
otu3040	56	118	48
otu3041	60	51	68
otu3042	26	87	18
otu3043	46	20	55
otu3044	43	25	48
otu3045	17	18	24
otu3046	73	51	66
otu3047	61	33	36
otu3048	9	32	129
otu3049	60	30	53
otu3050	92	65	38
otu3051	30	22	28
otu3052	53	18	28
otu3053	80	29	107
otu3054	20	27	41
otu3055	3	7	18
otu3056	9	29	123
otu3057	5	0	2
otu3058	31	13	22
otu3059	17	51	12
otu3060	32	16	30
otu3061	48	24	21
otu3062	50	48	42
otu3063	41	12	24
otu3064	39	12	25
otu3065	43	92	61
otu3066	16	23	24
otu3067	73	80	35
otu3068	60	42	84
otu3069	57	95	44
otu3070	12	13	29
otu3071	48	74	53
otu3072	36	43	25
otu3073	75	36	51
otu3074	58	46	38
otu3075	25	34	32
otu3076	32	13	26
otu3077	108	20	28
otu3078	68	68	71
otu3079	83	88	48
otu3080	103	26	94
otu3081	59	80	22
otu3082	80	74	41
otu3083	25	12	25
otu3084	75	28	7
otu3085	26	29	28
otu3086	47	11	17
otu3087	100	48	24
otu3088	45	36	113
otu3089	36	16	22
otu3090	27	17	19
otu3091	68	73	28
otu3092	54	38	34
otu3093	58	28	64
otu3094	32	95	46
otu3095	67	58	26
otu3096	66	116	36
otu3097	36	19	16
otu3098	27	12	9
otu3099	21	12	89
otu3100	93	55	24
otu3101	151	12	6
otu3102	56	54	30
otu3103	24	6	20
otu3104	69	39	48
otu3105	46	41	57
otu3106	20	166	29
otu3107	24	60	50
otu3108	3	4	0
otu3109	118	6	93
otu3110	91	23	55
otu3111	63	68	30
otu3112	52	90	70
otu3113	92	6	104
otu3114	22	31	104
otu3115	80	51	32
otu3116	33	18	39
otu3117	120	4	13
otu3118	53	37	64
otu3119	86	0	11
otu3120	27	11	24
otu3121	11	34	67
otu3122	23	11	20
otu3123	27	32	23
otu3124	9	15	23
otu3125	51	46	37
otu3126	43	28	63
otu3127	82	68	15
otu3128	71	38	52
otu3129	81	4	28
otu3130	59	59	54
otu3131	50	48	40
otu3132	76	37	66
otu3133	53	52	46
otu3134	76	88	4
otu3135	31	27	45
otu3136	32	9	25
otu3137	59	15	31
otu3138	17	33	46
otu3139	29	6	13
otu3140	116	3	9
otu3141	77	19	76
otu3142	58	18	30
otu3143	78	28	23
otu3144	62	96	35
otu3145	107	35	33
otu3146	63	53	45
otu3147	75	25	39
otu3148	26	25	22
otu3149	88	58	31
otu3150	101	14	108
otu3151	10	33	121
otu3152	21	10	10
otu3153	66	63	26
otu3154	58	25	19
otu3155	52	71	57
otu3156	89	11	28
otu3157	0	0	0
otu3158	7	16	24
otu3159	23	27	18
otu3160	45	14	24
otu3161	46	20	19
otu3162	81	23	64
otu3163	70	83	44
otu3164	16	18	26
otu3165	54	21	50
otu3166	73	52	60
otu3167	84	27	49
otu3168	24	16	17
otu3169	27	23	38
otu3170	34	48	22
otu3171	44	59	42
otu3172	57	131	34
otu3173	47	66	21
otu3174	17	0	41
otu3175	30	17	26
otu3176	32	5	22
otu3177	63	74	49
otu3178	44	125	21
otu3179	109	0	0
otu3180	66	17	106
otu3181	91	25	52
otu3182	40	90	20
otu3183	43	80	37
otu3184	100	29	3
otu3185	97	8	86
otu3186	90	31	65
otu3187	38	8	25
otu3188	33	7	22
otu3189	33	48	103
otu3190	33	8	22
otu3191	26	11	20
otu3192	44	48	82
otu3193	40	4	22
otu3194	33	50	28
otu3195	21	14	28
otu3196	75	22	13
otu3197	70	14	9
otu3198	93	41	22
otu3199	6	35	14
otu3200	44	36	19
otu3201	24	24	27
otu3202	23	8	27
otu3203	26	2	44
otu3204	48	69	71
otu3205	62	33	48
otu3206	52	65	46
otu3207	44	86	33
otu3208	41	26	30
otu3209	96	15	127
otu3210	6	0	29
otu3211	23	41	18
otu3212	74	29	64
otu3213	51	27	15
otu3214	108	34	14
otu3215	47	23	30
otu3216	77	46	34
otu3217	53	71	49
otu3218	89	80	10
otu3219	26	6	23
otu3220	86	26	37
otu3221	48	7	15
otu3222	89	16	85
otu3223	44	11	21
otu3224	23	7	20
otu3225	32	17	22
otu3226	39	9	21
otu3227	27	7	17
otu3228	9	29	118
otu3229	9	15	106
otu3230	42	54	33
otu3231	18	36	39
otu3232	24	9	20
otu3233	5	8	21
otu3234	59	10	57
otu3235	57	52	68
otu3236	61	25	26
otu3237	6	26	117
otu3238	32	53	31
otu3239	50	65	52
otu3240	54	25	48
otu3241	46	25	47
otu3242	48	95	40
otu3243	54	107	26
otu3244	63	21	56
otu3245	34	43	35
otu3246	77	22	107
otu3247	52	75	45
otu3248	36	0	7
otu3249	6	248	0
otu3250	94	75	9
otu3251	43	17	14
otu3252	54	48	43
otu3253	45	10	18
otu3254	94	52	30
otu3255	8	29	110
otu3256	138	0	0
otu3257	77	20	25
otu3258	44	38	48
otu3259	57	79	33
otu3260	89	7	90
otu3261	24	19	35
otu3262	33	17	23
otu3263	32	41	25
otu3264	65	38	77
otu3265	64	53	21
otu3266	33	74	66
otu3267	91	22	68
otu3268	69	79	41
otu3269	34	22	23
otu3270	10	13	29
otu3271	9	18	22
otu3272	17	89	10
otu3273	86	31	36
otu3274	30	16	16
otu3275	34	12	12
otu3276	34	13	19
otu3277	69	15	53
otu3278	29	5	14
otu3279	29	8	16
otu3280	30	55	47
otu3281	17	36	30
otu3282	21	107	19
otu3283	21	11	15
otu3284	17	30	31
otu3285	70	44	27
otu3286	68	69	41
otu3287	38	61	37
otu3288	58	71	28
otu3289	89	28	55
otu3290	15	31	22
otu3291	36	15	12
otu3292	60	26	68
otu3293	62	35	13
otu3294	47	34	44
otu3295	53	53	49
otu3296	41	101	38
otu3297	95	7	0
otu3298	111	0	0
otu3299	52	77	40
otu3300	20	6	22
otu3301	39	11	28
otu3302	38	12	28
otu3303	42	66	29
otu3304	84	43	25
otu3305	4	22	112
otu3306	104	4	14
otu3307	63	33	27
otu3308	21	103	35
otu3309	8	32	23
otu3310	76	82	18
otu3311	21	29	39
otu3312	91	25	8
otu3313	32	68	63
otu3314	59	57	30
otu3315	32	10	18
otu3316	22	6	14
otu3317	77	38	43
otu3318	51	86	27
otu3319	93	7	26
otu3320	43	27	60
otu3321	41	49	28
otu3322	57	68	30
otu3323	57	78	37
otu3324	36	10	24
otu3325	25	13	21
otu3326	57	39	27
otu3327	16	35	24
otu3328	58	43	41
otu3329	23	26	53
otu3330	62	78	29
otu3331	43	79	21
otu3332	87	29	31
otu3333	69	13	24
otu3334	47	58	24
otu3335	65	21	5
otu3336	56	104	28
otu3337	24	12	16
otu3338	48	57	38
otu3339	55	44	23
otu3340	30	51	63
otu3341	25	5	20
otu3342	41	64	34
otu3343	42	95	42
otu3344	48	15	48
otu3345	63	33	49
otu3346	38	66	28
otu3347	55	73	39
otu3348	28	16	22
otu3349	26	34	19
otu3350	8	212	25
otu3351	34	39	39
otu3352	109	0	0
otu3353	69	36	34
otu3354	42	53	11
otu3355	17	34	31
otu3356	14	24	39
otu3357	23	10	20
otu3358	27	13	14
otu3359	20	33	9
otu3360	71	35	42
otu3361	43	65	51
otu3362	34	6	19
otu3363	10	42	21
otu3364	60	42	47
otu3365	67	47	61
otu3366	61	16	49
otu3367	84	30	10
otu3368	95	0	0
otu3369	15	19	1
otu3370	3	0	0
otu3371	43	42	39
otu3372	21	14	26
otu3373	10	3	25
otu3374	53	63	25
otu3375	80	47	6
otu3376	52	88	24
otu3377	19	11	16
otu3378	44	12	15
otu3379	38	26	35
otu3380	60	0	8
otu3381	71	24	26
otu3382	57	32	41
otu3383	43	108	30
otu3384	68	11	47
otu3385	83	11	96
otu3386	90	9	86
otu3387	38	21	14
otu3388	19	5	20
otu3389	30	10	17
otu3390	23	8	18
otu3391	71	79	20
otu3392	46	92	25
otu3393	25	8	18
otu3394	14	26	35
otu3395	43	63	27
otu3396	37	17	21
otu3397	51	71	31
otu3398	22	8	13
otu3399	29	5	17
otu3400	28	8	18
otu3401	27	14	19
otu3402	36	8	19
otu3403	17	5	19
otu3404	103	0	0
otu3405	36	0	0
otu3406	80	17	6
otu3407	77	22	9
otu3408	53	76	37
otu3409	82	9	87
otu3410	88	7	100
otu3411	10	3	5
otu3412	15	4	20
otu3413	28	7	16
otu3414	23	7	18
otu3415	46	83	40
otu3416	94	8	82
otu3417	81	5	0
otu3418	26	16	64
otu3419	8	29	35
otu3420	68	29	41
otu3421	24	26	24
otu3422	105	13	2
otu3423	68	40	41
otu3424	28	6	18
otu3425	55	75	19
otu3426	16	24	23
otu3427	39	71	20
otu3428	27	17	19
otu3429	71	11	80
otu3430	37	130	25
otu3431	64	9	70
otu3432	26	21	30
otu3433	25	12	19
otu3434	29	10	11
otu3435	18	6	21
otu3436	40	51	49
otu3437	106	0	0
otu3438	40	78	42
otu3439	103	4	8
otu3440	58	42	30
otu3441	54	27	15
otu3442	27	9	21
otu3443	19	8	14
otu3444	36	11	21
otu3445	48	23	36
otu3446	111	0	0
otu3447	74	7	97
otu3448	30	23	38
otu3449	91	31	31
otu3450	33	35	17
otu3451	40	10	19
otu3452	28	68	18
otu3453	20	10	25
otu3454	41	36	10
otu3455	84	20	9
otu3456	48	38	58
otu3457	73	21	57
otu3458	24	8	14
otu3459	94	6	0
otu3460	40	46	46
otu3461	61	33	20
otu3462	36	7	15
otu3463	56	57	34
otu3464	22	10	18
otu3465	14	6	17
otu3466	25	8	18
otu3467	71	17	14
otu3468	55	45	44
otu3469	24	6	21
otu3470	57	68	42
otu3471	49	23	86
otu3472	25	7	19
otu3473	24	10	15
otu3474	28	9	16
otu3475	31	82	21
otu3476	33	17	24
otu3477	78	3	7
otu3478	63	16	26
otu3479	53	51	31
otu3480	15	21	43
otu3481	17	21	19
otu3482	79	8	8
otu3483	15	29	47
otu3484	23	9	19
otu3485	16	20	36
otu3486	52	16	40
otu3487	62	2	9
otu3488	69	11	83
otu3489	6	6	8
otu3490	68	48	29
otu3491	52	62	24
otu3492	51	17	46
otu3493	90	0	0
otu3494	15	28	24
otu3495	43	8	13
otu3496	72	3	23
otu3497	103	0	0
otu3498	37	33	21
otu3499	24	26	22
otu3500	41	37	31
otu3501	33	67	44
otu3502	52	63	37
otu3503	71	26	27
otu3504	55	69	12
otu3505	26	29	27
otu3506	6	6	0
otu3507	48	77	9
otu3508	68	71	29
otu3509	59	14	82
otu3510	20	6	15
otu3511	21	29	19
otu3512	21	8	15
otu3513	20	11	8
otu3514	87	34	3
otu3515	60	52	28
otu3516	74	10	92
otu3517	37	34	66
otu3518	41	92	31
otu3519	19	22	31
otu3520	29	12	14
otu3521	25	9	18
otu3522	23	7	20
otu3523	32	17	20
otu3524	77	12	28
otu3525	77	6	100
otu3526	26	18	24
otu3527	44	38	33
otu3528	41	0	28
otu3529	53	47	29
otu3530	24	7	16
otu3531	62	23	75
otu3532	43	15	22
otu3533	32	12	28
otu3534	46	74	37
otu3535	57	25	45
otu3536	33	52	44
otu3537	25	12	19
otu3538	37	87	22
otu3539	55	37	31
otu3540	59	44	15
otu3541	59	12	44
otu3542	94	0	0
otu3543	25	4	19
otu3544	49	42	66
otu3545	59	27	27
otu3546	100	9	3
otu3547	51	29	35
otu3548	32	23	15
otu3549	44	44	69
otu3550	21	36	51
otu3551	22	67	40
otu3552	3	18	16
otu3553	19	6	17
otu3554	42	9	28
otu3555	71	42	21
otu3556	49	21	37
otu3557	71	10	11
otu3558	42	98	28
otu3559	22	8	36
otu3560	54	23	9
otu3561	19	6	15
otu3562	35	40	27
otu3563	31	7	17
otu3564	17	54	26
otu3565	16	16	78
otu3566	16	5	106
otu3567	58	41	37
otu3568	39	0	23
otu3569	19	9	15
otu3570	9	55	1
otu3571	47	61	7
otu3572	48	41	33
otu3573	2	15	5
otu3574	17	28	35
otu3575	98	3	0
otu3576	41	44	39
otu3577	51	33	23
otu3578	8	8	15
otu3579	64	6	77
otu3580	56	55	26
otu3581	89	7	0
otu3582	16	5	34
otu3583	11	19	23
otu3584	19	6	16
otu3585	26	52	23
otu3586	30	68	61
otu3587	25	5	15
otu3588	17	5	22
otu3589	58	56	30
otu3590	57	44	17
otu3591	17	6	6
otu3592	21	10	14
otu3593	21	7	18
otu3594	81	5	84
otu3595	57	22	38
otu3596	33	89	32
otu3597	37	61	27
otu3598	80	8	84
otu3599	18	17	13
otu3600	13	11	30
otu3601	12	15	35
otu3602	29	18	33
otu3603	32	32	43
otu3604	33	73	30
otu3605	11	3	13
otu3606	82	3	0
otu3607	42	10	23
otu3608	75	38	8
otu3609	3	5	23
otu3610	43	95	32
otu3611	55	20	29
otu3612	16	12	25
otu3613	43	9	33
otu3614	54	78	27
otu3615	23	18	19
otu3616	19	11	13
otu3617	60	26	0
otu3618	36	68	21
otu3619	14	10	12
otu3620	53	53	29
otu3621	28	90	14
otu3622	44	34	38
otu3623	38	58	38
otu3624	6	9	7
otu3625	64	8	80
otu3626	14	47	29
otu3627	18	5	15
otu3628	107	0	0
otu3629	32	37	21
otu3630	23	33	38
otu3631	35	9	44
otu3632	74	30	9
otu3633	19	5	18
otu3634	25	9	7
otu3635	18	6	16
otu3636	27	9	9
otu3637	24	8	16
otu3638	70	50	7
otu3639	40	64	19
otu3640	25	7	18
otu3641	37	38	9
otu3642	6	3	127
otu3643	32	17	22
otu3644	40	65	25
otu3645	38	50	21
otu3646	63	22	9
otu3647	43	9	14
otu3648	47	47	30
otu3649	55	50	51
otu3650	96	0	5
otu3651	28	7	44
otu3652	34	93	16
otu3653	36	29	25
otu3654	63	7	94
otu3655	33	47	31
otu3656	0	4	98
otu3657	99	0	0
otu3658	51	24	35
otu3659	30	34	38
otu3660	18	8	16
otu3661	13	5	26
otu3662	11	20	31
otu3663	29	13	34
otu3664	42	68	25
otu3665	47	85	32
otu3666	4	10	5
otu3667	2	10	2
otu3668	19	5	13
otu3669	24	7	14
otu3670	58	49	8
otu3671	45	28	29
otu3672	43	13	44
otu3673	25	5	14
otu3674	78	0	0
otu3675	45	70	27
otu3676	69	60	25
otu3677	40	20	6
otu3678	16	4	10
otu3679	68	10	78
otu3680	59	7	87
otu3681	24	7	15
otu3682	21	7	17
otu3683	41	88	25
otu3684	14	32	24
otu3685	26	7	6
otu3686	2	197	0
otu3687	7	20	16
otu3688	18	15	11
otu3689	12	8	12
otu3690	18	5	8
otu3691	19	4	21
otu3692	12	20	11
otu3693	24	5	15
otu3694	47	31	51
otu3695	100	0	0
otu3696	62	7	84
otu3697	26	76	23
otu3698	48	20	24
otu3699	21	17	14
otu3700	38	57	19
otu3701	42	69	31
otu3702	65	31	46
otu3703	56	30	50
otu3704	33	15	12
otu3705	16	6	15
otu3706	37	55	22
otu3707	19	11	16
otu3708	41	28	45
otu3709	30	87	25
otu3710	46	17	22
otu3711	15	14	15
otu3712	17	5	7
otu3713	43	22	8
otu3714	20	32	14
otu3715	34	53	26
otu3716	72	3	8
otu3717	44	17	39
otu3718	40	32	35
otu3719	5	14	21
otu3720	46	13	40
otu3721	15	8	11
otu3722	19	6	14
otu3723	22	6	17
otu3724	42	33	38
otu3725	35	9	11
otu3726	33	48	18
otu3727	71	47	30
otu3729	29	73	27
otu3730	37	71	23
otu3731	47	25	35
otu3732	9	40	34
otu3733	27	10	13
otu3734	61	5	85
otu3735	48	66	23
otu3736	34	5	3
otu3737	42	81	29
otu3738	18	5	10
otu3739	44	69	23
otu3740	22	5	13
otu3741	23	6	16
otu3742	29	5	17
otu3743	19	36	24
otu3744	22	22	18
otu3745	28	62	22
otu3746	29	76	12
otu3747	12	21	4
otu3748	49	56	31
otu3749	23	6	15
otu3750	12	13	22
otu3751	40	76	21
otu3752	49	85	21
otu3753	31	43	21
otu3754	45	40	21
otu3755	34	60	20
otu3756	36	68	23
otu3757	15	90	10
otu3758	25	4	42
otu3759	5	3	0
otu3760	64	6	67
otu3761	15	45	21
otu3762	16	17	21
otu3763	14	6	13
