	MPSG1	MPSG2	MPSG3
otu2529	48	18	41
otu2530	13	68	59
otu2531	25	63	52
otu2532	14	59	78
otu2533	32	83	73
otu2534	26	44	37
otu2535	28	54	29
otu2536	24	89	64
otu2537	33	35	61
otu2538	50	65	45
otu2539	12	29	10
otu2540	20	32	40
otu2541	35	92	25
otu2542	2	34	41
otu2543	24	24	17
otu2544	28	77	54
otu2545	21	38	21
otu2546	7	16	31
otu2547	46	52	80
otu2548	127	14	58
otu2549	33	13	12
otu2550	25	22	53
otu2551	111	48	80
otu2552	45	70	18
otu2553	77	0	37
otu2554	46	121	40
otu2555	111	47	82
otu2556	36	62	57
otu2557	27	28	43
otu2558	18	47	24
otu2559	86	46	73
otu2560	13	70	21
otu2561	48	32	61
otu2562	41	11	19
otu2563	19	31	12
otu2564	86	55	80
otu2565	8	57	67
otu2566	83	37	52
otu2567	29	38	56
otu2568	24	83	31
otu2569	26	27	25
otu2570	39	6	33
otu2571	7	31	11
otu2572	46	27	31
otu2573	49	64	41
otu2574	33	85	32
otu2575	27	60	19
otu2576	12	61	15
otu2577	10	25	13
otu2578	54	31	44
otu2579	23	44	39
otu2580	12	25	8
otu2581	36	106	45
otu2582	30	99	64
otu2583	47	15	29
otu2584	22	44	39
otu2585	57	31	97
otu2586	51	28	84
otu2587	30	57	24
otu2588	54	104	81
otu2589	6	215	12
otu2590	5	6	109
otu2591	4	75	17
otu2592	34	91	14
otu2593	92	52	59
otu2594	40	20	23
otu2595	31	42	5
otu2596	11	81	98
otu2597	77	41	48
otu2598	44	43	56
otu2599	19	12	29
otu2600	83	50	75
otu2601	24	96	28
otu2602	36	24	26
otu2603	16	34	45
otu2604	27	40	45
otu2605	22	22	14
otu2606	32	148	29
otu2607	20	104	111
otu2608	11	0	24
otu2609	14	71	29
otu2610	50	123	58
otu2611	58	49	54
otu2612	60	92	75
otu2613	33	115	29
otu2614	60	26	30
otu2615	26	22	20
otu2616	110	34	48
otu2617	64	36	47
otu2618	48	28	66
otu2619	20	24	13
otu2620	29	75	43
otu2621	64	47	25
otu2622	66	17	41
otu2623	8	51	106
otu2624	102	54	60
otu2625	77	52	65
otu2626	17	25	40
otu2627	7	22	14
otu2628	3	7	0
otu2629	25	14	50
otu2630	47	33	16
otu2631	46	84	35
otu2632	70	90	66
otu2633	35	0	11
otu2634	23	11	28
otu2635	42	13	56
otu2636	28	88	49
otu2637	17	79	37
otu2638	35	3	10
otu2639	15	2	13
otu2640	47	67	38
otu2641	71	57	20
otu2642	31	28	32
otu2643	0	25	14
otu2644	28	129	26
otu2645	16	4	13
otu2646	26	40	34
otu2647	21	17	28
otu2648	8	52	0
otu2649	40	47	44
otu2650	75	46	69
otu2651	10	64	30
otu2652	16	24	56
otu2653	63	64	47
otu2654	12	41	29
otu2655	23	63	58
otu2656	44	28	39
otu2657	16	43	31
otu2658	3	52	11
otu2659	14	44	23
otu2660	26	24	14
otu2661	45	6	40
otu2662	45	102	63
otu2663	79	41	65
otu2664	13	48	21
otu2665	101	43	41
otu2666	21	34	45
otu2667	36	31	39
otu2668	11	42	29
otu2669	101	46	64
otu2670	9	3	3
otu2671	25	49	16
otu2672	36	30	21
otu2673	13	25	26
otu2674	22	35	19
otu2675	18	30	2
otu2676	12	78	24
otu2677	55	148	48
otu2678	23	55	17
otu2679	23	29	26
otu2680	3	32	27
otu2681	17	39	40
otu2682	17	41	27
otu2683	30	82	64
otu2684	1	9	19
otu2685	2	65	32
otu2686	80	53	64
otu2687	49	66	45
otu2688	89	47	66
otu2689	89	31	61
otu2690	9	14	6
otu2691	40	91	50
otu2692	36	70	49
otu2693	26	22	13
otu2694	53	16	37
otu2695	28	62	22
otu2696	72	0	14
otu2697	18	22	15
otu2698	46	65	33
otu2699	31	131	44
otu2700	93	45	78
otu2701	9	106	11
otu2702	18	59	18
otu2703	51	33	36
otu2704	32	29	37
otu2705	44	31	39
otu2706	18	50	23
otu2707	20	18	5
otu2708	59	31	49
otu2709	15	33	13
otu2710	35	37	21
otu2711	59	31	85
otu2712	29	105	59
otu2713	19	142	23
otu2714	40	71	60
otu2715	7	39	15
otu2716	28	37	47
otu2717	22	18	24
otu2718	51	18	25
otu2719	70	11	15
otu2720	12	76	5
otu2721	16	33	19
otu2722	15	83	28
otu2723	14	49	14
otu2724	63	39	43
otu2725	10	29	16
otu2726	14	11	9
otu2727	88	31	62
otu2728	86	35	63
otu2729	16	67	10
otu2730	22	24	18
otu2731	5	54	15
otu2732	45	97	63
otu2733	86	32	59
otu2734	19	30	8
otu2735	62	20	46
otu2736	11	0	3
otu2737	13	19	32
otu2738	12	29	10
otu2739	16	84	35
otu2740	14	35	11
otu2741	18	40	15
otu2742	32	28	6
otu2743	95	38	69
otu2744	16	25	17
otu2745	20	172	11
otu2746	28	25	26
otu2747	25	25	27
otu2748	16	12	23
otu2749	10	3	4
otu2750	57	31	28
otu2751	89	45	55
otu2752	15	57	25
otu2753	3	28	7
otu2754	43	40	28
otu2755	23	21	15
otu2756	6	24	61
otu2757	88	43	72
otu2758	23	30	20
otu2759	102	0	45
otu2760	22	176	22
otu2761	42	23	16
otu2762	69	40	63
otu2763	31	35	54
otu2764	9	20	11
otu2765	15	23	36
otu2766	7	6	11
otu2767	4	42	25
otu2768	33	32	50
otu2769	76	37	50
otu2770	21	70	18
otu2771	13	80	9
otu2772	5	20	13
otu2773	12	16	10
otu2774	21	66	41
otu2775	43	82	65
otu2776	27	13	36
otu2777	65	77	64
otu2778	35	0	6
otu2779	47	60	32
otu2780	16	28	23
otu2781	26	47	35
otu2782	17	9	13
otu2783	3	36	7
otu2784	16	9	11
otu2785	12	85	16
otu2786	26	17	25
otu2787	55	84	75
otu2788	8	83	16
otu2789	11	31	45
otu2790	13	82	20
otu2791	38	31	43
otu2792	24	44	45
otu2793	18	23	22
otu2794	8	121	17
otu2795	43	7	12
otu2796	46	42	35
otu2797	78	40	53
otu2798	62	125	43
otu2799	29	51	45
otu2800	6	42	0
otu2801	78	50	53
otu2802	46	26	28
otu2803	28	57	41
otu2804	72	136	35
otu2805	6	55	0
otu2806	16	90	44
otu2807	19	25	9
otu2808	18	64	6
otu2809	50	48	70
otu2810	56	0	35
otu2811	0	0	0
otu2812	16	25	24
otu2813	14	30	20
otu2814	70	60	50
otu2815	56	40	35
otu2816	78	34	51
otu2817	6	16	13
otu2818	42	21	41
otu2819	53	122	59
otu2820	21	64	25
otu2821	20	73	25
otu2822	78	33	68
otu2823	28	34	33
otu2824	22	9	36
otu2825	54	47	51
otu2826	21	11	26
otu2827	33	21	39
otu2828	0	5	0
otu2829	23	35	35
otu2830	21	25	29
otu2831	35	30	70
otu2832	52	10	14
otu2833	38	52	20
otu2834	27	49	14
otu2835	3	49	3
otu2836	13	58	0
otu2837	28	52	17
otu2838	23	40	10
otu2839	6	22	5
otu2840	37	29	27
otu2841	36	51	40
otu2842	11	148	13
otu2843	56	42	49
otu2844	10	90	17
otu2845	13	34	7
otu2846	10	19	8
otu2847	11	36	40
otu2848	25	46	23
otu2849	18	48	21
otu2850	24	21	55
otu2851	11	47	14
otu2852	25	56	34
otu2853	38	18	23
otu2854	37	49	22
otu2855	82	37	61
otu2856	11	24	27
otu2857	32	41	20
otu2858	48	82	62
otu2859	4	53	18
otu2860	53	6	11
otu2861	7	0	10
otu2862	0	50	6
otu2863	6	44	9
otu2864	12	31	24
otu2865	17	16	32
otu2866	28	0	15
otu2867	26	33	23
otu2868	19	33	22
otu2869	40	32	14
otu2870	13	88	16
otu2871	47	14	42
otu2872	41	67	58
otu2873	0	58	3
otu2874	27	15	23
otu2875	49	63	74
otu2876	8	9	2
otu2877	40	14	13
otu2878	14	144	19
otu2879	62	59	51
otu2880	17	17	21
otu2881	10	26	14
otu2882	28	54	37
otu2883	62	25	65
otu2884	85	14	13
otu2885	17	65	17
otu2886	22	52	23
otu2887	32	70	27
otu2888	48	36	39
otu2889	25	18	7
otu2890	6	52	25
otu2891	20	31	29
otu2892	11	24	30
otu2893	11	17	13
otu2894	6	51	3
otu2895	45	23	53
otu2896	37	51	5
otu2897	12	45	3
otu2898	55	36	34
otu2899	14	42	16
otu2900	8	34	39
otu2901	15	32	15
otu2902	10	37	23
otu2903	67	40	63
otu2904	12	17	17
otu2905	51	73	68
otu2906	35	74	11
otu2907	10	36	25
otu2908	4	70	3
otu2909	12	36	14
otu2910	22	0	18
otu2911	31	77	42
otu2912	69	54	43
otu2913	13	42	25
otu2914	15	18	23
otu2915	2	25	7
otu2916	13	53	11
otu2917	77	43	57
otu2918	13	64	16
otu2919	25	24	20
otu2920	0	41	8
otu2921	61	89	32
otu2922	0	8	6
otu2923	19	18	20
otu2924	8	0	0
otu2925	25	16	39
otu2926	32	69	10
otu2927	13	28	8
otu2928	9	17	9
otu2929	23	0	11
otu2930	25	23	26
otu2931	19	31	2
otu2932	55	36	38
otu2933	0	54	3
otu2934	53	20	62
otu2935	5	40	2
otu2936	42	3	35
otu2937	24	36	27
otu2938	39	40	6
otu2939	4	32	10
otu2940	21	5	12
otu2941	18	30	11
otu2942	49	74	55
otu2943	34	97	20
otu2944	19	32	26
otu2945	19	33	10
otu2946	40	47	61
otu2947	9	25	16
otu2948	3	30	20
otu2949	37	23	40
otu2950	7	7	16
otu2951	38	45	27
otu2952	0	49	6
otu2953	62	20	46
otu2954	44	9	30
otu2955	11	68	21
otu2956	12	12	19
otu2957	6	103	20
otu2958	38	54	27
otu2959	12	9	20
otu2960	25	58	41
otu2961	63	27	45
otu2962	10	61	12
otu2963	28	10	53
otu2964	50	17	35
otu2965	0	67	0
otu2966	0	47	0
otu2967	16	24	17
otu2968	20	63	39
otu2969	70	43	48
otu2970	52	29	41
otu2971	29	26	21
otu2972	37	61	14
otu2973	17	13	13
otu2974	57	32	55
otu2975	29	24	34
otu2976	15	37	32
otu2977	15	64	10
otu2978	30	13	39
otu2979	73	32	48
otu2980	63	33	28
otu2981	0	24	27
otu2982	0	61	4
otu2983	76	42	35
otu2984	19	29	36
otu2985	10	15	16
otu2986	7	2	5
otu2987	17	21	9
otu2988	46	63	55
otu2989	33	30	4
otu2990	53	27	39
otu2991	18	20	15
otu2992	19	48	37
otu2993	16	36	19
otu2994	81	29	58
otu2995	28	7	25
otu2996	2	0	0
otu2997	60	6	8
otu2998	74	30	50
otu2999	68	29	38
otu3000	27	16	35
otu3001	42	21	38
otu3002	0	44	3
otu3003	0	0	0
otu3004	39	3	24
otu3005	70	29	57
otu3006	29	16	18
otu3007	53	7	33
otu3008	31	44	17
otu3009	24	39	32
otu3010	5	27	10
otu3011	39	97	44
otu3012	51	29	41
otu3013	59	37	54
otu3014	36	64	62
otu3015	20	21	0
otu3016	10	5	14
otu3017	11	50	8
otu3018	93	22	58
otu3019	25	10	23
otu3020	52	88	45
otu3021	40	34	21
otu3022	17	37	22
otu3023	15	37	13
otu3024	6	26	1
otu3025	6	10	29
otu3026	19	38	14
otu3027	5	44	14
otu3028	9	78	68
otu3029	28	25	24
otu3030	58	24	37
otu3031	48	3	30
otu3032	30	28	14
otu3033	24	22	28
otu3034	32	21	37
otu3035	66	37	42
otu3036	0	140	7
otu3037	5	16	24
otu3038	5	13	13
otu3039	7	4	6
otu3040	8	4	10
otu3041	16	16	14
otu3042	47	28	44
otu3043	6	107	32
otu3044	3	67	4
otu3045	43	42	60
otu3046	15	14	15
otu3047	33	23	30
otu3048	0	50	4
otu3049	19	29	29
otu3050	14	37	8
otu3051	26	62	45
otu3052	27	29	6
otu3053	8	7	5
otu3054	43	39	43
otu3055	33	81	48
otu3056	0	49	4
otu3057	0	7	8
otu3058	57	40	44
otu3059	50	18	54
otu3060	9	18	51
otu3061	12	115	14
otu3062	20	51	33
otu3063	53	47	43
otu3064	55	28	43
otu3065	10	23	16
otu3066	35	57	49
otu3067	5	29	22
otu3068	11	47	9
otu3069	9	15	14
otu3070	42	69	49
otu3071	11	29	18
otu3072	42	33	44
otu3073	10	5	31
otu3074	24	11	26
otu3075	65	30	32
otu3076	62	26	55
otu3077	37	3	17
otu3078	15	21	4
otu3079	7	22	6
otu3080	15	8	2
otu3081	20	49	27
otu3082	9	28	12
otu3083	60	31	55
otu3084	23	5	34
otu3085	10	33	33
otu3086	61	27	52
otu3087	12	22	16
otu3088	1	21	4
otu3089	66	39	41
otu3090	25	93	22
otu3091	14	23	0
otu3092	3	34	15
otu3093	18	25	26
otu3094	6	61	3
otu3095	14	27	25
otu3096	9	6	0
otu3097	20	68	36
otu3098	39	71	47
otu3099	2	65	5
otu3100	2	16	12
otu3101	36	0	8
otu3102	27	45	16
otu3103	42	70	37
otu3104	18	17	15
otu3105	20	53	21
otu3106	3	17	5
otu3107	28	66	18
otu3108	2	4	4
otu3109	13	3	0
otu3110	25	13	12
otu3111	29	17	20
otu3112	10	15	5
otu3113	8	3	0
otu3114	10	40	8
otu3115	16	41	27
otu3116	5	69	12
otu3117	46	3	22
otu3118	21	29	21
otu3119	39	6	38
otu3120	67	28	55
otu3121	37	31	28
otu3122	62	35	51
otu3123	55	27	42
otu3124	41	66	42
otu3125	6	58	8
otu3126	34	26	18
otu3127	23	26	7
otu3128	23	25	7
otu3129	20	40	25
otu3130	15	15	13
otu3131	22	14	57
otu3132	3	7	17
otu3133	40	15	35
otu3134	5	21	11
otu3135	34	27	41
otu3136	68	26	45
otu3137	68	32	19
otu3138	13	65	29
otu3139	61	24	50
otu3140	53	7	13
otu3141	8	1	33
otu3142	40	33	35
otu3143	41	25	21
otu3144	12	5	6
otu3145	26	17	7
otu3146	16	28	10
otu3147	20	26	22
otu3148	43	30	45
otu3149	17	9	12
otu3150	6	3	0
otu3151	0	44	5
otu3152	31	68	40
otu3153	23	23	19
otu3154	19	58	25
otu3155	7	39	8
otu3156	40	6	34
otu3157	0	289	0
otu3158	39	91	22
otu3159	36	55	35
otu3160	44	31	47
otu3161	50	29	41
otu3162	13	26	26
otu3163	13	4	22
otu3164	11	76	21
otu3165	15	25	26
otu3166	8	22	18
otu3167	31	18	13
otu3168	54	38	55
otu3169	12	50	10
otu3170	9	53	2
otu3171	17	26	34
otu3172	7	0	4
otu3173	20	19	33
otu3174	39	46	61
otu3175	62	29	38
otu3176	67	27	49
otu3177	16	11	8
otu3178	12	17	14
otu3179	43	4	29
otu3180	4	9	26
otu3181	12	27	21
otu3182	34	2	14
otu3183	10	15	13
otu3184	10	34	17
otu3185	8	0	2
otu3186	10	0	11
otu3187	55	23	46
otu3188	54	19	54
otu3189	2	8	10
otu3190	60	36	34
otu3191	62	28	46
otu3192	16	14	13
otu3193	65	3	19
otu3194	47	16	28
otu3195	21	81	21
otu3196	0	52	0
otu3197	40	9	34
otu3198	18	18	12
otu3199	0	106	6
otu3200	22	25	12
otu3201	53	34	42
otu3202	64	31	39
otu3203	7	3	47
otu3204	4	6	23
otu3205	18	6	35
otu3206	10	20	11
otu3207	21	10	33
otu3208	12	44	5
otu3209	4	0	3
otu3210	40	52	60
otu3211	34	60	18
otu3212	18	25	24
otu3213	32	25	22
otu3214	30	12	11
otu3215	8	48	26
otu3216	27	11	0
otu3217	8	26	3
otu3218	4	10	0
otu3219	63	34	52
otu3220	16	27	3
otu3221	14	8	5
otu3222	9	3	6
otu3223	55	21	38
otu3224	62	26	50
otu3225	77	23	32
otu3226	54	33	38
otu3227	56	33	39
otu3228	0	42	4
otu3229	23	10	27
otu3230	13	20	11
otu3231	49	23	22
otu3232	54	39	36
otu3233	0	140	3
otu3234	30	17	13
otu3235	14	9	17
otu3236	45	15	15
otu3237	0	43	3
otu3238	30	23	32
otu3239	10	16	20
otu3240	14	32	32
otu3241	29	23	19
otu3242	8	10	11
otu3243	14	17	12
otu3244	9	34	16
otu3245	19	42	21
otu3246	5	5	7
otu3247	15	8	4
otu3248	25	0	0
otu3249	0	0	0
otu3250	2	9	0
otu3251	13	81	18
otu3252	8	26	11
otu3253	55	28	40
otu3254	15	22	19
otu3255	0	38	3
otu3256	30	0	25
otu3257	18	7	7
otu3258	0	56	36
otu3259	7	29	7
otu3260	8	2	5
otu3261	12	41	10
otu3262	36	14	52
otu3263	42	19	51
otu3264	12	3	13
otu3265	12	19	8
otu3266	6	53	6
otu3267	7	12	17
otu3268	11	7	9
otu3269	24	35	39
otu3270	37	55	42
otu3271	29	59	41
otu3272	26	23	28
otu3273	5	13	20
otu3274	8	144	15
otu3275	9	7	31
otu3276	22	42	25
otu3277	27	34	15
otu3278	56	35	39
otu3279	59	27	45
otu3280	22	22	18
otu3281	6	0	38
otu3282	5	44	11
otu3283	20	70	27
otu3284	32	51	30
otu3285	2	46	25
otu3286	5	3	9
otu3287	14	18	10
otu3288	5	29	2
otu3289	7	2	12
otu3290	23	51	42
otu3291	3	8	16
otu3292	5	35	22
otu3293	22	36	22
otu3294	9	23	2
otu3295	7	12	12
otu3296	3	26	2
otu3297	44	0	31
otu3298	44	0	33
otu3299	14	15	7
otu3300	46	29	37
otu3301	56	23	35
otu3302	18	27	23
otu3303	7	32	0
otu3304	26	9	22
otu3305	0	37	8
otu3306	42	9	11
otu3307	18	34	17
otu3308	10	22	11
otu3309	41	24	11
otu3310	1	7	8
otu3311	10	40	12
otu3312	29	8	13
otu3313	7	7	24
otu3314	0	39	12
otu3315	59	22	45
otu3316	64	32	45
otu3317	12	23	31
otu3318	8	13	7
otu3319	36	14	16
otu3320	13	41	16
otu3321	16	16	37
otu3322	8	33	14
otu3323	15	11	10
otu3324	46	32	33
otu3325	62	25	49
otu3326	15	50	6
otu3327	24	63	28
otu3328	16	21	12
otu3329	13	45	22
otu3330	9	2	18
otu3331	11	8	11
otu3332	35	7	14
otu3333	21	25	14
otu3334	3	39	28
otu3335	22	28	31
otu3336	12	3	9
otu3337	5	99	13
otu3338	16	22	3
otu3339	2	40	32
otu3340	11	29	32
otu3341	67	18	43
otu3342	8	40	5
otu3343	8	5	13
otu3344	16	29	30
otu3345	17	25	28
otu3346	14	26	6
otu3347	14	10	8
otu3348	44	28	35
otu3349	10	31	29
otu3350	9	0	0
otu3351	28	29	45
otu3352	36	0	31
otu3353	11	34	21
otu3354	19	20	60
otu3355	44	19	32
otu3356	23	43	38
otu3357	59	21	54
otu3358	26	52	21
otu3359	10	74	4
otu3360	11	23	19
otu3361	10	12	17
otu3362	58	20	38
otu3363	27	52	35
otu3364	10	24	23
otu3365	10	12	17
otu3366	11	43	28
otu3367	38	0	11
otu3368	46	3	29
otu3369	37	69	33
otu3370	107	0	0
otu3371	7	11	10
otu3372	13	29	17
otu3373	16	76	29
otu3374	3	27	0
otu3375	17	16	17
otu3376	12	7	7
otu3377	57	25	43
otu3378	41	32	36
otu3379	7	36	23
otu3380	40	53	13
otu3381	25	21	14
otu3382	11	26	23
otu3383	5	0	13
otu3384	10	15	14
otu3385	8	2	5
otu3386	10	2	3
otu3387	54	22	29
otu3388	61	26	41
otu3389	49	27	37
otu3390	62	23	44
otu3391	17	15	13
otu3392	11	12	8
otu3393	51	31	30
otu3394	7	72	18
otu3395	27	5	20
otu3396	50	22	34
otu3397	3	31	0
otu3398	56	26	44
otu3399	58	28	43
otu3400	55	25	41
otu3401	38	27	40
otu3402	52	28	36
otu3403	60	28	45
otu3404	36	3	29
otu3405	24	12	16
otu3406	13	9	20
otu3407	30	10	11
otu3408	10	12	14
otu3409	5	0	2
otu3410	4	0	3
otu3411	7	62	4
otu3412	43	48	32
otu3413	58	22	42
otu3414	56	27	43
otu3415	4	18	13
otu3416	5	3	0
otu3417	35	3	21
otu3418	48	54	21
otu3419	9	67	7
otu3420	17	10	3
otu3421	8	27	20
otu3422	41	0	0
otu3423	14	8	9
otu3424	59	24	40
otu3425	5	7	8
otu3426	29	24	39
otu3427	14	10	30
otu3428	18	80	20
otu3429	6	5	2
otu3430	0	5	8
otu3431	13	21	7
otu3432	7	60	21
otu3433	65	28	32
otu3434	26	60	29
otu3435	49	29	44
otu3436	14	23	2
otu3437	42	0	26
otu3438	2	17	8
otu3439	39	0	7
otu3440	40	19	12
otu3441	23	15	38
otu3442	46	21	43
otu3443	59	28	40
otu3444	35	23	34
otu3445	24	12	24
otu3446	59	0	7
otu3447	4	4	6
otu3448	31	17	43
otu3449	4	31	24
otu3450	29	40	28
otu3451	35	22	20
otu3452	18	40	5
otu3453	27	36	31
otu3454	13	25	19
otu3455	27	4	22
otu3456	6	29	16
otu3457	8	2	11
otu3458	55	25	38
otu3459	45	2	10
otu3460	6	19	7
otu3461	9	17	4
otu3462	37	18	35
otu3463	9	22	13
otu3464	50	34	43
otu3465	19	44	29
otu3466	48	23	45
otu3467	17	11	25
otu3468	15	13	13
otu3469	58	20	40
otu3470	10	8	6
otu3471	7	7	7
otu3472	52	27	44
otu3473	51	26	39
otu3474	58	21	40
otu3475	6	21	11
otu3476	9	70	5
otu3477	23	13	16
otu3478	36	17	17
otu3479	9	28	7
otu3480	5	44	13
otu3481	28	22	47
otu3482	39	4	19
otu3483	38	25	12
otu3484	45	25	41
otu3485	7	81	5
otu3486	21	21	12
otu3487	23	14	32
otu3488	4	3	8
otu3489	0	124	0
otu3490	10	12	4
otu3491	11	20	10
otu3492	26	14	9
otu3493	35	0	14
otu3494	25	33	11
otu3495	26	20	28
otu3496	47	0	14
otu3497	41	4	8
otu3498	18	21	50
otu3499	14	40	13
otu3500	15	18	21
otu3501	7	20	3
otu3502	6	20	7
otu3503	35	18	9
otu3504	3	8	32
otu3505	8	49	7
otu3506	39	74	24
otu3507	0	26	11
otu3508	8	0	4
otu3509	9	2	6
otu3510	51	27	39
otu3511	20	11	63
otu3512	48	20	55
otu3513	16	66	22
otu3514	4	11	0
otu3515	16	18	11
otu3516	5	0	4
otu3517	6	40	19
otu3518	5	11	5
otu3519	7	52	8
otu3520	47	26	38
otu3521	53	26	31
otu3522	54	20	35
otu3523	7	66	14
otu3524	23	12	18
otu3525	7	0	6
otu3526	35	34	31
otu3527	8	23	12
otu3528	64	0	22
otu3529	6	27	4
otu3530	53	24	38
otu3531	4	3	9
otu3532	39	24	45
otu3533	41	25	28
otu3534	13	7	8
otu3535	14	25	17
otu3536	3	7	2
otu3537	46	32	30
otu3538	8	12	4
otu3539	24	9	15
otu3540	0	15	5
otu3541	0	3	4
otu3542	47	0	9
otu3543	54	24	30
otu3544	9	0	4
otu3545	32	12	15
otu3546	32	0	5
otu3547	5	32	8
otu3548	24	45	5
otu3549	2	28	3
otu3550	15	9	27
otu3551	3	52	3
otu3552	20	48	41
otu3553	52	27	33
otu3554	0	68	28
otu3555	8	15	8
otu3556	8	24	23
otu3557	23	9	18
otu3558	0	16	9
otu3559	4	27	4
otu3560	2	52	10
otu3561	56	25	40
otu3562	15	11	28
otu3563	25	16	33
otu3564	0	29	15
otu3565	23	15	8
otu3566	6	6	5
otu3567	10	9	7
otu3568	62	0	22
otu3569	53	27	32
otu3570	8	32	35
otu3571	2	17	32
otu3572	4	20	22
otu3573	34	82	33
otu3574	24	16	20
otu3575	41	0	9
otu3576	5	34	15
otu3577	8	25	13
otu3578	0	29	150
otu3579	17	3	0
otu3580	11	13	13
otu3581	43	0	8
otu3582	27	17	42
otu3583	37	35	29
otu3584	50	20	40
otu3585	14	21	7
otu3586	4	30	6
otu3587	51	21	37
otu3588	48	20	36
otu3589	6	14	7
otu3590	10	43	13
otu3591	28	57	25
otu3592	57	20	31
otu3593	50	18	41
otu3594	8	4	3
otu3595	10	12	23
otu3596	0	0	6
otu3597	4	18	5
otu3598	5	0	0
otu3599	48	21	37
otu3600	51	20	37
otu3601	15	57	11
otu3602	25	21	38
otu3603	0	19	11
otu3604	3	3	8
otu3605	48	21	41
otu3606	17	4	20
otu3607	0	70	17
otu3608	2	6	2
otu3609	0	44	48
otu3610	4	0	3
otu3611	54	21	5
otu3612	4	15	6
otu3613	13	13	29
otu3614	5	3	0
otu3615	43	23	30
otu3616	52	23	36
otu3617	12	21	23
otu3618	3	33	6
otu3619	52	22	41
otu3620	9	14	4
otu3621	17	29	4
otu3622	3	24	0
otu3623	0	25	0
otu3624	0	5	40
otu3625	4	3	8
otu3626	34	21	18
otu3627	53	25	35
otu3628	42	0	0
otu3629	4	31	15
otu3630	17	23	11
otu3631	10	34	8
otu3632	2	8	22
otu3633	46	24	33
otu3634	13	66	19
otu3635	48	22	39
otu3636	13	57	19
otu3637	52	17	35
otu3638	0	17	0
otu3639	13	14	7
otu3640	27	15	89
otu3641	26	12	42
otu3642	2	14	1
otu3643	36	11	30
otu3644	5	13	22
otu3645	4	24	3
otu3646	19	7	15
otu3647	15	30	9
otu3648	17	4	3
otu3649	7	16	8
otu3650	43	0	6
otu3651	21	45	15
otu3652	5	13	9
otu3653	18	13	24
otu3654	6	0	5
otu3655	9	21	10
otu3656	4	37	4
otu3657	33	0	9
otu3658	21	12	5
otu3659	11	50	4
otu3660	49	17	34
otu3661	37	21	35
otu3662	9	39	13
otu3663	21	26	17
otu3664	10	19	2
otu3665	3	0	3
otu3666	32	71	25
otu3667	41	73	20
otu3668	44	24	38
otu3669	58	20	26
otu3670	15	6	12
otu3671	1	43	2
otu3672	19	19	14
otu3673	44	19	35
otu3674	40	0	27
otu3675	5	7	11
otu3676	6	13	6
otu3677	18	50	32
otu3678	15	64	21
otu3679	6	0	0
otu3680	6	0	3
otu3681	43	32	28
otu3682	42	19	37
otu3683	5	2	3
otu3684	29	39	35
otu3685	7	27	4
otu3686	0	0	0
otu3687	20	32	33
otu3688	53	22	32
otu3689	28	25	71
otu3690	16	65	20
otu3691	47	27	32
otu3692	20	64	14
otu3693	26	23	43
otu3694	3	14	18
otu3695	34	0	8
otu3696	5	4	4
otu3697	10	19	10
otu3698	19	13	41
otu3699	35	21	37
otu3700	5	18	0
otu3701	5	14	4
otu3702	12	3	9
otu3703	2	17	17
otu3704	21	17	33
otu3705	44	20	41
otu3706	5	23	0
otu3707	41	21	32
otu3708	12	10	12
otu3709	3	9	5
otu3710	21	11	37
otu3711	47	21	33
otu3712	12	62	25
otu3713	5	24	28
otu3714	9	64	7
otu3715	5	19	0
otu3716	25	8	18
otu3717	15	10	24
otu3718	6	5	5
otu3719	9	30	36
otu3720	26	26	11
otu3721	14	60	22
otu3722	44	15	37
otu3723	27	18	47
otu3724	11	15	7
otu3725	9	49	19
otu3726	10	22	7
otu3727	5	0	7
otu3729	6	6	7
otu3730	10	4	4
otu3731	10	19	11
otu3732	21	37	5
otu3733	43	19	32
otu3734	3	1	0
otu3735	5	4	6
otu3736	30	21	11
otu3737	5	0	6
otu3738	44	23	36
otu3739	0	10	3
otu3740	43	22	32
otu3741	43	19	33
otu3742	41	17	31
otu3743	0	58	10
otu3744	6	67	4
otu3745	4	21	0
otu3746	13	12	16
otu3747	5	64	7
otu3748	2	17	10
otu3749	40	20	31
otu3750	25	29	32
otu3751	6	2	0
otu3752	7	0	0
otu3753	7	26	8
otu3754	22	21	9
otu3755	9	17	9
otu3756	9	7	0
otu3757	0	21	26
otu3758	40	15	22
otu3759	19	62	16
otu3760	6	3	2
otu3761	6	42	10
otu3762	7	51	4
otu3763	49	21	34
otu3764	18	22	14
otu3765	4	8	8
otu3766	4	0	9
otu3767	0	19	12
otu3768	4	0	11
otu3769	0	0	3
otu3770	0	9	14
otu3771	8	5	8
otu3772	8	2	7
otu3773	32	22	3
otu3774	43	22	31
otu3775	0	10	13
otu3776	0	4	6
otu3777	31	19	23
otu3778	38	20	34
otu3779	7	26	24
otu3780	0	5	0
otu3781	6	9	22
otu3782	9	12	7
otu3783	0	36	12
otu3784	10	7	24
otu3785	9	26	4
otu3786	12	23	5
otu3787	18	3	3
otu3788	8	12	0
otu3789	40	27	34
otu3790	39	21	32
otu3791	3	17	35
otu3792	3	28	2
otu3793	41	60	24
otu3794	9	27	10
otu3795	22	6	31
otu3796	3	9	5
otu3797	10	17	16
otu3798	7	10	15
otu3799	39	0	0
otu3800	5	16	6
